platform,row_key,hardware_model,model_name,brand,memory_gb
wetest,,TAS-AL00,华为 Mate 30,HUAWEI,8.0
wetest,,V1981A,iQOO Neo3 5G,vivo,8.0
wetest,,BLA-AL00,华为 Mate 10 Pro,HUAWEI,6.0
wetest,,PEMM00,OPPO A55,OPPO,6.0
wetest,,M2003J15SC,红米 10X 4G,Xiaomi,4.0
wetest,,PCLM50,OPPO Reno3元气版,OPPO,8.0
wetest,,M2007J17C,红米 Note 9 Pro 5G,Xiaomi,8.0
wetest,,M2006J10C,红米 K30 至尊纪念版,Xiaomi,8.0
wetest,,M2004J19C,红米 9,Xiaomi,3.0
wetest,,V2054A,vivo Y31s,vivo,6.0
wetest,,PEAM00,OPPO Reno4 SE,OPPO,8.0
wetest,,ANA-AN00,华为 P40,HUAWEI,6.0
wetest,,V2031A,vivo Y73s,vivo,6.0
wetest,,KB2000,一加 8T 5G,OnePlus,8.0
wetest,,PDKT00,OPPO A92s,OPPO,8.0
wetest,,OXP-AN00,荣耀 Play4 Pro,HONOR,8.0
wetest,,OXF-AN10,荣耀 V30 Pro,HUAWEI,8.0
wetest,,CDY-AN90,荣耀 30S,HUAWEI,8.0
wetest,,EBG-AN00,荣耀 30 Pro,HUAWEI,8.0
wetest,,PAFM00,OPPO Find X,OPPO,8.0
wetest,,V1950A,vivo NEX 3S,vivo,8.0
wetest,,JEF-AN00,华为 nova7 5G,HUAWEI,8.0
wetest,,Mi 10 Pro,小米10 Pro,Xiaomi,8.0
wetest,,PEGM00,OPPO Reno 5,OPPO,8.0
wetest,,PBBT00,OPPO A7x,OPPO,4.0
wetest,,Redmi 5 Plus,红米 5 Plus,Xiaomi,4.0
wetest,,vivo X21UD A,vivo X21 屏幕指纹版,vivo,6.0
wetest,,V1838A,vivo X27,vivo,8.0
wetest,,V1901A,vivo Y3,vivo,4.0
wetest,,MI 9 Transparent Edition,小米9 透明尊享版,Xiaomi,12.0
wetest,,RMX2200,真我 V3 5G,realme,4.0
wetest,,PCKM80,OPPO Reno2 Z,OPPO,8.0
wetest,,Redmi Note 7 Pro,红米 Note 7 Pro,Xiaomi,6.0
wetest,,FRD-AL10,荣耀8 高配版,HONOR,4.0
wetest,,PCAM10,OPPO A9,OPPO,4.0
wetest,,PBEM00,OPPO R17,OPPO,8.0
wetest,,V2023A,iQOO U1,vivo,6.0
wetest,,Mi 10,小米10,Xiaomi,8.0
wetest,,Redmi K20 Pro,红米 K20 Pro,Xiaomi,6.0
wetest,,VOG-AL00,华为 P30 Pro,HUAWEI,8.0
wetest,,vivo X21A,vivo X21A,vivo,6.0
wetest,,V1816A,vivo X23 炫彩版,vivo,6.0
wetest,,LYA-AL00,华为 Mate 20 Pro,HUAWEI,8.0
wetest,,Redmi K30 5G,红米 K30 5G,Xiaomi,8.0
wetest,,YAL-AL00,荣耀 20,HONOR,8.0
wetest,,V1821A,vivo NEX 双屏版,vivo,10.0
wetest,,HMA-AL00,华为 Mate 20,HUAWEI,6.0
wetest,,V1831A,vivo S1,vivo,6.0
wetest,,JKM-AL00b,华为畅享9 Plus,HUAWEI,4.0
wetest,,Redmi Note 8,红米 note 8,Xiaomi,4.0
wetest,,PDAM10,OPPO A52,OPPO,8.0
wetest,,M2012K11AC,红米 K40,Xiaomi,8.0
wetest,,BND-AL10,荣耀畅玩 7X,HONOR,4.0
wetest,,V1945A,vivo Y9s,vivo,8.0
wetest,,V1916A,iQOO Pro 5G,vivo,8.0
wetest,,PDCM00,OPPO Reno3,OPPO,8.0
wetest,,V1962A,vivo S6,vivo,8.0
wetest,,V1923A,vivo NEX 3,vivo,8.0
wetest,,V1938CT,vivo X30,vivo,8.0
wetest,,V1934A,vivo Y5s,vivo,6.0
wetest,,TAS-AN00,华为 Mate 30 5G,HUAWEI,8.0
wetest,,V1818A,vivo Y93,vivo,4.0
wetest,,HMA-TL00,华为 Mate 20,HUAWEI,6.0
wetest,,ELE-AL00,华为 P30,HUAWEI,8.0
wetest,,TAS-AN00,华为 Mate 30 5G,HUAWEI,8.0
wetest,,OCE-AN10,华为 Mate 40,HUAWEI,8.0
wetest,,HLK-AL10,荣耀 9X Pro,HONOR,8.0
wetest,,Redmi K20,红米 K20,Xiaomi,6.0
wetest,,LE2110,一加 9,OnePlus,8.0
wetest,,M2102J2SC,小米10S,Xiaomi,8.0
wetest,,MXW-AN00,荣耀 30 Youth,HUAWEI,6.0
wetest,,MI 9,小米 9,Xiaomi,6.0
wetest,,RMX3121,真我 V11,realme,4.0
wetest,,WAS-TL10,华为 P10 Lite,HUAWEI,4.0
wetest,,V1941A,vivo U3,vivo,4.0
wetest,,RMX1931,真我 X2 Pro,realme,6.0
wetest,,PCRM00,OPPO Reno3 Pro,OPPO,8.0
wetest,,PCPM00,OPPO A91,OPPO,8.0
wetest,,PDBM00,OPPO A8,OPPO,6.0
wetest,,SPN-AL00,华为 nova 5i Pro,HUAWEI,6.0
wetest,,MI MAX 3,小米 Mi Max 3,Xiaomi,4.0
wetest,,Note9,魅族 Note 9,MEIZU,4.0
wetest,,SM-G9810,Galaxy S20 5G,SAMSUNG,12.0
wetest,,V1963A,vivo Z6,vivo,6.0
wetest,,DUB-AL00a,华为 Enjoy 9,HUAWEI,4.0
wetest,,BND-AL00,荣耀 7X,HUAWEI,4.0
wetest,,PCAT10,OPPO A9 移动4G+,OPPO,6.0
wetest,,RNE-AL00,华为 Mate 10 Lite,HUAWEI,4.0
wetest,,V1921A,vivo Z5,vivo,6.0
wetest,,V1809T,vivo X23,vivo,8.0
wetest,,SHARK PRS-A0,黑鲨 4,BlackShark,8.0
wetest,,ZTE A2122H,ZTE S30 Pro,ZTE,8.0
wetest,,V1930A,vivo Y3,vivo,3.0
wetest,,V1818CT,vivo Y93s,vivo,4.0
wetest,,M2007J1SC,10 至尊纪念版,Xiaomi,8.0
wetest,,V1809A,vivo X23,vivo,8.0
wetest,,V1816T,vivo X23 移动全网通,vivo,6.0
wetest,,V1911A,vivo Z5x,vivo,6.0
wetest,,16th,魅族 16TH,MEIZU,6.0
wetest,,STK-AL00,华为畅享10 Plus,HUAWEI,6.0
wetest,,V2073A,iQOO Z3,vivo,6.0
wetest,,ARS-AL00,华为畅享MAX,HUAWEI,4.0
wetest,,V1913A,vivo Y7s,vivo,6.0
wetest,,PBBM30,OPPO A5,OPPO,3.0
wetest,,V1932A,vivo S5,vivo,8.0
wetest,,vivo Z1,vivo Z1,vivo,6.0
wetest,,ARE-AL00,荣耀 8X Max,HONOR,4.0
wetest,,ASUS_I001DA,华硕 ROG Phone 2 精英版,Asus,8.0
wetest,,V1829A,vivo X27,vivo,8.0
wetest,,PDYM20,oppo A72,OPPO,8.0
wetest,,V1914A,iQOO Neo,vivo,8.0
wetest,,V1824A,iQOO,vivo,8.0
wetest,,V1936A,iQOO Neo 855,vivo,6.0
wetest,,JER-AN10,华为 nova 7 Pro 5G,HUAWEI,8.0
wetest,,JEF-AN20,华为 nova 7 5G,HUAWEI,8.0
wetest,,JKM-LX1,华为 Y9,HUAWEI,4.0
wetest,,ONEPLUS A3010,一加 3T,OnePlus,6.0
wetest,,Redmi 6 Pro,红米 6 PRO,Xiaomi,4.0
wetest,,JSN-AL00,荣耀 8X,HUAWEI,6.0
wetest,,VOG-AL10,华为 P30 Pro 尊享版,HUAWEI,8.0
wetest,,PBBM00,OPPO A7x,OPPO,4.0
wetest,,PCPM00,OPPO A91,OPPO,8.0
wetest,,PEDM00,OPPO Find X3,OPPO,8.0
wetest,,Redmi K30 5G,红米 K30 5G,Xiaomi,8.0
wetest,,PBET00,OPPO R17,OPPO,8.0
wetest,,V1955A,iQOO 3,vivo,6.0
wetest,,Redmi Note 7,红米 Note 7,Xiaomi,4.0
wetest,,PCEM00,OPPO A9x,OPPO,6.0
wetest,,vivo Z1i,vivo Z1i,vivo,4.0
wetest,,ELE-AL00,华为 P30,HUAWEI,8.0
wetest,,EVR-AL00,华为 Mate 20 X,HUAWEI,6.0
wetest,,LLD-AL30,荣耀9i,HONOR,4.0
wetest,,V1938T,vivo X30 Pro,vivo,8.0
wetest,,MIX 3,小米MIX 3,Xiaomi,8.0
wetest,,SM-G955F,Galaxy S8+,SAMSUNG,4.0
wetest,,CPH1931,OPPO A5,OPPO,3.0
wetest,,vivo 1907,vivo S1,vivo,6.0
wetest,,CPH2015,OPPO A31,OPPO,4.0
wetest,,V2106A,iQOO U3x,vivo,4.0
wetest,,ATU-AL10,华为 Y5 Prime,HUAWEI,3.0
wetest,,OPPO A33m,OPPO A33M,OPPO,2.0
wetest,,GM1910,一加 7 Pro,OnePlus,8.0
wetest,,V2056A,vivo X60 Pro+,vivo,12.0
wetest,,Redmi Note 8,红米 note 8,Xiaomi,4.0
wetest,,MI CC 9e,小米 Mi CC9e,Xiaomi,4.0
wetest,,SKR-A0,黑鲨,BlackShark,8.0
wetest,,OPPO A33,OPPO A33,OPPO,2.0
wetest,,SM-A750GN,Galaxy A7,SAMSUNG,4.0
wetest,,PCAM10,OPPO A9,OPPO,4.0
wetest,,RMX2061,真我 6 Pro,realme,6.0
wetest,,RMX2121,真我 X7 Pro,realme,8.0
wetest,,MI 9,小米 9,Xiaomi,6.0
wetest,,SEA-AL10,华为 nova 5 Pro,HUAWEI,8.0
wetest,,M2104K10AC,红米Note10Pro,Xiaomi,6.0
wetest,,GM1900,一加 7,OnePlus,8.0
wetest,,DUB-LX3,华为 Y7,HUAWEI,3.0
wetest,,V1824A,iQOO,vivo,8.0
wetest,,CHL-AN00,荣耀 X20 SE,HONOR,8.0
wetest,,YAL-AL00,荣耀 20,HONOR,8.0
wetest,,V2111A,Vivo Y53s,vivo,8.0
wetest,,M2011K2C,小米11 5G,Xiaomi,8.0
wetest,,Pixel 4,Pixel 4,Google,6.0
wetest,,SM-G9960,Galaxy S21+ 5G,SAMSUNG,8.0
wetest,,ANE-LX3,华为 P20 lite,HUAWEI,4.0
wetest,,ANE-LX1,华为 P20 lite,HUAWEI,4.0
wetest,,SM-G9880,Galaxy S20 Ultra 5G,SAMSUNG,12.0
wetest,,SM-N971N,Galaxy Note10 5G,SAMSUNG,12.0
wetest,,Mi 10,小米10,Xiaomi,8.0
wetest,,SM-G9980,Galaxy S21 Ultra 5G,SAMSUNG,12.0
wetest,,LYA-AL00,华为 Mate 20 Pro,HUAWEI,8.0
wetest,,RMX2144,真我 X50 5G,realme,6.0
wetest,,V2156A,vivo Y76s,vivo,8.0
wetest,,PELM00,OPPO A95 5G,OPPO,8.0
wetest,,CMA-AN00,荣耀 Play 30 Plus,HONOR,4.0
wetest,,V2196A,iQOO Neo6,vivo,12.0
wetest,,PDRM00,OPPO Reno 5 Pro+ 5G,OPPO,8.0
wetest,,M2006J10C,红米 K30 至尊纪念版,Xiaomi,8.0
wetest,,V2166A,vivo Y33s,vivo,8.0
wetest,,SM-N9760,Galaxy SM-N9760,SAMSUNG,12.0
wetest,,PFVM10,OPPO A56 5G,OPPO,4.0
wetest,,PENM00,OPPO Reno 6 Pro+,OPPO,8.0
wetest,,PDYM20,oppo A72,OPPO,4.0
wetest,,Pixel 6,Pixel 6,Google,8.0
wetest,,ASUS_I003DD,华硕 ROG Phone 3,Asus,12.0
wetest,,PDNM00,OPPO Reno4 Pro,OPPO,8.0
wetest,,Redmi K30,红米 K30,Xiaomi,6.0
wetest,,VOG-AL10,华为 P30 Pro 尊享版,HUAWEI,8.0
wetest,,V1936AL,iQOO Neo 855 Racing,vivo,8.0
wetest,,V2059A,vivo x60,vivo,8.0
wetest,,V1986A,iQOO Z1,vivo,8.0
wetest,,TAS-AL00,华为 Mate 30,HUAWEI,8.0
wetest,,TAS-AL00,华为 Mate 30,HUAWEI,6.0
wetest,,Redmi K30 5G,红米 K30 5G,Xiaomi,8.0
wetest,,ANG-AN00,华为 nova 8 5G,HUAWEI,8.0
wetest,,JEF-AN00,华为 nova7 5G,HUAWEI,8.0
wetest,,CDY-AN00,华为 nova 7 SE,HUAWEI,8.0
wetest,,TNY-AL00,荣耀 Magic 2,HONOR,8.0
wetest,,VOG-AL00,华为 P30 Pro,HUAWEI,8.0
wetest,,FRL-AN00a,华为 Enjoy 20 Plus 5G,HUAWEI,6.0
wetest,,ART-AL00x,华为 畅享10,HUAWEI,6.0
wetest,,TEL-AN00a,荣耀 X10 5G,HUAWEI,6.0
wetest,,SM-N9860,Galaxy Note 20 Ultra 5G,SAMSUNG,12.0
wetest,,PEGM10,OPPO Reno 5K,OPPO,8.0
wetest,,V2165A,iQOO U5,vivo,8.0
wetest,,2201123C,小米 12,Xiaomi,8.0
wetest,,PEQM00,OPPO Reno6 5G,OPPO,8.0
wetest,,RMX3142,真我 Q3 Pro Carnival,realme,8.0
wetest,,V2168A,vivo Y10 t1,vivo,4.0
wetest,,V2136A,Vivo iQOO 8,vivo,8.0
wetest,,RMX3478,真我 Q5,realme,6.0
wetest,,RMX3372,真我 GT Neo 3T,realme,8.0
wetest,,GIA-AN00,荣耀 60 SE,HONOR,8.0
wetest,,SHARK KLE-A0,黑鲨 3,BlackShark,8.0
wetest,,PCCM00,OPPO Reno 10倍变焦版,OPPO,8.0
wetest,,V2164A,vivo Y55s (2021),vivo,8.0
wetest,,V2055A,iQOO Neo5,vivo,8.0
wetest,,IN2010,一加 8,OnePlus,8.0
wetest,,SM-A515F,Galaxy A51,SAMSUNG,6.0
wetest,,ASUS_I001DA,华硕 ROG Phone 2 精英版,Asus,8.0
wetest,,Redmi K30i 5G,红米 K30i,Xiaomi,6.0
wetest,,V2001A,vivo X50,vivo,8.0
wetest,,V2164KA,iQOO Z6x,vivo,6.0
wetest,,ASUS_I005DA,华硕ROG Phone 5 Rog5,Asus,16.0
wetest,,V2131A,iQOO Z5x,vivo,8.0
wetest,,LIO-AN00m,华为 Mate 30E Pro 5G,HUAWEI,8.0
wetest,,WLZ-AL10,华为 nova 6,HUAWEI,8.0
wetest,,ZTE A2022P,ZTE Axon 30 Ultra,ZTE,8.0
wetest,,VNE-AN00,荣耀 Play 30,HONOR,4.0
wetest,,CPH1911,OPPO F11,OPPO,4.0
wetest,,ASK-AL00x,荣耀 Play 3,HUAWEI,4.0
wetest,,22011211C,红米 K50 Pro,Xiaomi,8.0
wetest,,SHARK PRS-A0,黑鲨 4,BlackShark,12.0
wetest,,ANA-AN00,华为 P40,HUAWEI,5.5
wetest,,BRA-AL00,华为 Mate 60,HUAWEI,12.0
wetest,,SM-S9010,Galaxy S22 5G,SAMSUNG,8.0
wetest,,V2048A,vivo S9e,vivo,8.0
wetest,,V2190A,vivo S15e,vivo,12.0
wetest,,V2324A,vivo X100 Pro,vivo,12.0
wetest,,PGCM10,OPPO K9x,OPPO,6.0
wetest,,V2130A,vivo S10e,vivo,8.0
wetest,,RKY-AN10,荣耀 Play7T,HONOR,8.0
wetest,,PGEM10,OPPO Find X6 Pro,OPPO,12.0
wetest,,NTN-AN20,荣耀 X20,HONOR,8.0
wetest,,V2134A,Vivo X70 Pro,vivo,12.0
wetest,,LE2120,一加 9 Pro,OnePlus,12.0
wetest,,M2101K9C,小米 Mi 11 Lite 5G,Xiaomi,8.0
wetest,,ELZ-AN10,荣耀 Magic3 Pro,HONOR,8.0
wetest,,V2148A,iQOO Z5,vivo,8.0
wetest,,OXF-AN10,荣耀 V30 Pro,HUAWEI,8.0
wetest,,YAL-AL50,荣耀 20S,HUAWEI,6.0
wetest,,CDY-AN90,荣耀 30S,HUAWEI,8.0
wetest,,OCE-AN50,华为 Mate 40E,HUAWEI,8.0
wetest,,DVC-AN20,华为畅享20 Pro,HUAWEI,6.0
wetest,,NCO-AL00,华为 nova 10,HUAWEI,8.0
wetest,,HLK-AL00,荣耀 9X,HUAWEI,4.0
wetest,,TAS-AL00,华为 Mate 30,HUAWEI,8.0
wetest,,CET-AL60,华为 Mate 50E,HUAWEI,8.0
wetest,,LRA-AL00,荣耀 20 lite,HUAWEI,6.0
wetest,,TEL-AN00a,荣耀 X10 5G,HUAWEI,6.0
wetest,,JNY-AL10,华为 nova 6 SE,HUAWEI,8.0
wetest,,AQM-AL10,荣耀 Play 4T Pro,HUAWEI,6.0
wetest,,HLK-AL10,荣耀 9X Pro,HONOR,8.0
wetest,,JER-AN20,华为nova7 Pro 5G,HUAWEI,8.0
wetest,,HMA-AL00,华为 Mate 20,HUAWEI,6.0
wetest,,HLK-AL00,荣耀 9X,HUAWEI,4.0
wetest,,SEA-AL00,华为 nova 5,HUAWEI,8.0
wetest,,HMA-AL00,华为 Mate 20,HUAWEI,6.0
wetest,,CDY-TN00,华为 nova 7 SE,HUAWEI,8.0
wetest,,WLZ-AN00,华为 nova 6 5G,HUAWEI,8.0
wetest,,YAL-AL10,荣耀 20 Pro,HUAWEI,8.0
wetest,,PCT-AL10,荣耀 View 20,HUAWEI,8.0
wetest,,BMH-AN10,荣耀 30,HUAWEI,8.0
wetest,,OXF-AN10,荣耀 V30 Pro,HUAWEI,8.0
wetest,,YAL-AL50,荣耀 20S,HUAWEI,6.0
wetest,,CDY-AN20,华为 nova 7 SE,HUAWEI,8.0
wetest,,RMX2072,真我 X50 Pro Player,realme,8.0
wetest,,DVC-AN20,华为畅享20 Pro,HUAWEI,6.0
wetest,,ANA-AN00,华为 P40,HUAWEI,8.0
wetest,,TEL-AN10,荣耀 X10 5G,HUAWEI,8.0
wetest,,HLK-AL10,荣耀 9X Pro,HONOR,8.0
wetest,,MXW-AN00,荣耀 30 Youth,HUAWEI,6.0
wetest,,Pixel 3,Pixel 3,Google,4.0
wetest,,22011211C,红米 K50 Pro,Xiaomi,8.0
wetest,,YAL-AL10,荣耀 20 Pro,HUAWEI,8.0
wetest,,JKM-AL00a,华为 Y9,HUAWEI,4.0
wetest,,LON-AL00,华为 Mate 9 pro,HUAWEI,6.0
wetest,,JKM-TL00,华为 Y9,HUAWEI,4.0
wetest,,MXW-AN00,荣耀 30 Youth,HUAWEI,6.0
wetest,,LSA-AN00,荣耀60,HONOR,8.0
wetest,,JSN-AL00a,荣耀 8X,HUAWEI,4.0
wetest,,ADT-AN00,荣耀 X40 GT,HONOR,8.0
wetest,,BMH-AN10,荣耀 30,HUAWEI,8.0
wetest,,22041216C,Note 11T Pro,Xiaomi,6.0
wetest,,IN2020,一加 8 Pro,OnePlus,12.0
wetest,,EBG-AN00,荣耀 30 Pro,HUAWEI,8.0
wetest,,21091116C,红米 Note 11,Xiaomi,6.0
wetest,,M2012K11AC,红米 K40,Xiaomi,8.0
wetest,,PGGM10,OPPO K10x,OPPO,8.0
wetest,,NOH-AN01,华为 Mate 40 Pro,HUAWEI,8.0
wetest,,24129PN74C,小米 15,Xiaomi,12.0
wetest,,JEF-AN00,华为 nova7 5G,HUAWEI,8.0
wetest,,TAS-AN00,华为 Mate 30 5G,HUAWEI,8.0
wetest,,ANA-AN00,华为 P40,HUAWEI,6.0
wetest,,FOA-AL00,华为 nova 11,HUAWEI,8.0
wetest,,PFGM00,OPPO A93s,OPPO,8.0
wetest,,LIO-AN00P,华为Mate30 RS 保时捷版,HUAWEI,12.0
wetest,,ZTE A2022,ZTE Axon 30 Ultra 5G,ZTE,8.0
wetest,,TAS-AN00,华为 Mate 30 5G,HUAWEI,8.0
wetest,,ANP-AN00,荣耀 80 Pro,HONOR,12.0
wetest,,REA-AN00,荣耀 90,HONOR,12.0
wetest,,VOG-AL00,华为 P30 Pro,HUAWEI,8.0
wetest,,SM-E5260,三星 Galaxy F52 5G,SAMSUNG,8.0
wetest,,V2405A,vivo X200,vivo,16.0
wetest,,TAS-AL00,华为 Mate 30,HUAWEI,8.0
wetest,,V2283A,vivo S17,vivo,8.0
wetest,,V2183A,vivo X80,vivo,8.0
wetest,,PJJ110,OPPO Reno11 Pro,OPPO,12.0
wetest,,V2425A,,VIVO,12.0
wetest,,VNE-AN40,荣耀 Play6C,HONOR,6.0
wetest,,V2196A,iQOO Neo6,vivo,8.0
wetest,,V2270A,iQOO Z7 (China),vivo,8.0
wetest,,V2361A,iQOO Z9,vivo,8.0
wetest,,V2254A,iQOO 11 Pro,vivo,16.0
wetest,,25019PNF3C,小米 15 Ultra,Xiaomi,12.0
wetest,,SEA-AL10,华为 nova 5 Pro,HUAWEI,8.0
wetest,,23127PN0CC,小米 14,Xiaomi,16.0
wetest,,FIN-AL60a,华为 nova 12 Lite,HUAWEI,8.0
wetest,,ELE-AL00,华为 P30,HUAWEI,8.0
wetest,,JER-AN10,华为 nova 7 Pro 5G,HUAWEI,8.0
wetest,,NTH-AN00,荣耀50,HONOR,8.0
wetest,,V2157A,iQOO Neo5 SE,vivo,8.0
wetest,,V2172A,iQOO 9 Pro,vivo,8.0
wetest,,JSC-AN00,华为 nova 8 SE,HUAWEI,8.0
wetest,,22081212C,红米 K50 Ultra,Xiaomi,8.0
wetest,,DBR-W10,,HUAWEI,8.0
wetest,,ABR-AL00,华为 P50,HUAWEI,8.0
wetest,,RMX5200,,realme,12.0
wetest,,RMX5010,,,12.0
wetest,,PTP-AN00,荣耀 Magic7,HONOR,12.0
wetest,,V2502A,vivo X300 Pro,,16.0
wetest,,RMX6699,真我 GT8,realme,12.0
wetest,,PKJ110,OPPO Find X8 Ultra,,12.0
wetest,,V2454A,vivo X200 Ultra,VIVO,12.0
wetest,,BKQ-AN10,荣耀 Magic8 Pro,HONOR,12.0
wetest,,SM-S9210,,samsung,12.0
wetest,,PPG-AN00,荣耀 GT Pro,HONOR,12.0
wetest,,DNP-AN00,荣耀 400 Pro,HONOR,12.0
wetest,,25060RK16C,红米 K80 Ultra,Redmi,12.0
wetest,,SM-S9310,三星 Galaxy S25,SAMSUNG,12.0
wetest,,V2505A,,vivo,12.0
wetest,,V2339A,iQOO Neo9 Pro,vivo,12.0
wetest,,AMP-AN10,荣耀 300 Ultra,HONOR,12.0
wetest,,V2309A,vivo X100,VIVO,12.0
wetest,,V2338A,iQOO Neo9,vivo,12.0
wetest,,PJE110,一加 Ace 3,OnePlus,12.0
wetest,,RMX6688,真我 GT 7,realme,12.0
wetest,,DVD-AN00,荣耀 Power,HONOR,8.0
wetest,,NOH-AN00,华为 Mate 40 Pro,HUAWEI,8.0
wetest,,SM-G998B,Galaxy S21 Ultra,SAMSUNG,12.0
wetest,,Pixel 9 Pro,Pixel 9 Pro,GOOGLE,16.0
wetest,,Pixel 9,Google Pixel 9,google,12.0
wetest,,ELE-AL00,华为 P30,HUAWEI,8.0
wetest,,V2241A,vivo X90,vivo,8.0
wetest,,V2185A,vivo X80 Pro,vivo,8.0
wetest,,V2218A,iQOO 10 Pro,vivo,12.0
wetest,,V2301A,iQOO Neo8,vivo,12.0
wetest,,V2304A,iQOO 11S,vivo,12.0
wetest,,NE2210,一加 10 Pro,OnePlus,8.0
wetest,,V2430A,vivo S20 Pro,VIVO,12.0
wetest,,SM-F9460,Galaxy Z Fold5,SAMSUNG,12.0
wetest,,V2238A,iQOO Neo7 SE,vivo,8.0
wetest,,PHK110,一加 Ace 2,OnePlus,12.0
wetest,,V2203A,vivo S15,vivo,8.0
wetest,,PLW110,,OPPO,12.0
wetest,,2511FRT34C,,XIAOMI,12.0
wetest,,JUY-AL00,华为 Enjoy 80,HUAWEI,8.0
wetest,,ABR-AN00,,HONOR,8.0
wetest,,SM-W9026,,SAMSUNG,16.0
wetest,,BKQ-AN00,荣耀 Magic8,HONOR,12.0
wetest,,V2436A,,vivo,12.0
wetest,,AAP-AN00,,HONOR,12.0
wetest,,2505APX7BC,小米 Mix Flip 2,XIAOMI,12.0
